Time,Temperature,SootA,Co2,
29-8-2015T13-26-05,25.469999,27.377445,1419.23999,
29-8-2015T13-26-06,25.469999,27.405254,1419.02002,
29-8-2015T13-26-07,25.469999,27.405735,1419.02002,
29-8-2015T13-26-08,25.469999,27.387756,1415.280029,
29-8-2015T13-26-09,25.469999,27.299461,1415.280029,
29-8-2015T13-26-10,25.469999,27.219997,1419.930054,
29-8-2015T13-26-11,25.469999,27.148479,1419.930054,
29-8-2015T13-26-12,25.469999,27.084112,1412.650024,
29-8-2015T13-26-13,25.469999,26.999332,1412.650024,
29-8-2015T13-26-14,25.469999,26.88851,1413.079956,
29-8-2015T13-26-15,25.48,26.833263,1413.079956,
29-8-2015T13-26-16,25.48,26.783543,1414.069946,
29-8-2015T13-26-17,25.48,26.738794,1414.069946,
29-8-2015T13-26-18,25.48,26.698521,1414.699951,
29-8-2015T13-26-19,25.48,26.678383,1414.699951,
29-8-2015T13-26-20,25.48,26.634943,1415.329956,
29-8-2015T13-26-21,25.48,26.70018,1415.329956,
29-8-2015T13-26-22,25.48,26.758892,1418.209961,
29-8-2015T13-26-23,25.48,26.811733,1418.209961,
29-8-2015T13-26-24,25.48,26.859291,1417.810059,
29-8-2015T13-26-25,25.48,26.902092,1417.810059,
29-8-2015T13-26-26,25.48,27.018095,1418.869995,
29-8-2015T13-26-27,25.48,27.093346,1418.869995,
29-8-2015T13-26-28,25.48,27.161072,1418.890015,
29-8-2015T13-26-29,25.48,27.222025,1418.890015,
29-8-2015T13-26-30,25.48,27.276884,1418.52002,
29-8-2015T13-26-31,25.48,27.254911,1418.52002,
29-8-2015T13-26-32,25.48,27.140778,1419.569946,
29-8-2015T13-26-33,25.48,27.018112,1419.569946,
29-8-2015T13-26-34,25.48,26.907713,1417.97998,
29-8-2015T13-26-35,25.48,26.808355,1417.97998,
29-8-2015T13-26-36,25.48,26.718933,1417.150024,
29-8-2015T13-26-37,25.48,26.692152,1417.150024,
29-8-2015T13-26-38,25.48,26.768545,1416.410034,
29-8-2015T13-26-39,25.48,26.83423,1416.410034,
29-8-2015T13-26-40,25.48,26.893347,1416.859985,
29-8-2015T13-26-41,25.48,26.946552,1416.859985,
29-8-2015T13-26-42,25.48,26.994436,1414.839966,
29-8-2015T13-26-43,25.48,27.059013,1414.839966,
29-8-2015T13-26-44,25.48,27.184639,1415.01001,
29-8-2015T13-26-45,25.48,27.260881,1415.01001,
29-8-2015T13-26-46,25.48,27.329498,1415.719971,
29-8-2015T13-26-47,25.48,27.391254,1415.719971,
29-8-2015T13-26-48,25.48,27.446835,1416.719971,
29-8-2015T13-26-49,25.48,27.454664,1416.719971,
29-8-2015T13-26-50,25.48,27.336666,1416.0,
29-8-2015T13-26-51,25.48,27.248112,1416.0,
29-8-2015T13-26-52,25.48,27.168413,1416.48999,
29-8-2015T13-26-53,25.48,27.096684,1416.48999,
29-8-2015T13-26-54,25.469999,27.032127,1417.599976,
29-8-2015T13-26-55,25.469999,27.07836,1417.599976,
29-8-2015T13-26-56,25.469999,27.02561,1417.23999,
29-8-2015T13-26-57,25.469999,27.006517,1417.23999,
29-8-2015T13-26-58,25.469999,26.989334,1417.199951,
29-8-2015T13-26-59,25.469999,26.973869,1417.199951,
29-8-2015T13-27-00,25.469999,26.959951,1418.329956,
29-8-2015T13-27-01,25.469999,26.85767,1418.329956,
29-8-2015T13-27-02,25.48,26.967375,1417.589966,
29-8-2015T13-27-03,25.48,26.993233,1417.589966,
29-8-2015T13-27-04,25.48,27.016504,1417.26001,
29-8-2015T13-27-05,25.48,27.037449,1417.26001,
29-8-2015T13-27-06,25.48,27.056299,1422.160034,
29-8-2015T13-27-07,25.48,27.06329,1422.160034,
29-8-2015T13-27-08,25.48,26.962181,1431.290039,
29-8-2015T13-27-09,25.48,26.935623,1431.290039,
29-8-2015T13-27-10,25.48,26.91172,1429.01001,
29-8-2015T13-27-11,25.48,26.890207,1429.01001,
29-8-2015T13-27-12,25.48,26.870846,1429.369995,
29-8-2015T13-27-13,25.48,26.830406,1429.369995,
29-8-2015T13-27-14,25.48,26.790176,1428.72998,
29-8-2015T13-27-15,25.48,26.806902,1428.72998,
29-8-2015T13-27-16,25.48,26.821955,1428.050049,
29-8-2015T13-27-17,25.48,26.835503,1428.050049,
29-8-2015T13-27-18,25.48,26.847694,1423.319946,
29-8-2015T13-27-19,25.48,26.9093,1423.319946,
29-8-2015T13-27-20,25.48,26.977785,1424.030029,
